Reference, Quantity, Value, Footprint, Datasheet, MPN, Manufacturer, Pwr, Res, SKU, Tol, C, Type, Vmax
C1 C10 C12 C2 ,4,GRM21BR60J476ME15K,Main:CAPC0805,,GRM21BR60J476ME15K,Murata Electronics North America,,,STUFF,±20%,47.0 µF,X5R,6.3V
C3 ,1,CC0603KRX7R9BB333,Main:CAPC0603,,CC0603KRX7R9BB333,Yageo,,,STUFF,±10%,33.0 nF,X7R,50.0V
C4 ,1,CP,Capacitor_SMD:C_1206_3216Metric,~,,,,,,,,,
C11 C13 C14 C15 C5 C6 C7 C8 C9 ,9,CC0603KRX7R9BB104,Main:CAPC0603,,CC0603KRX7R9BB104,Yageo,,,STUFF,±10%,100 nF,X7R,50.0V
FB1 ,1,Ferrite_Bead_Small,Main:CAPC0603,~,,,,,,,,,
J1 ,1,Screw_Terminal_01x10,Main:Terminal_block_OSTVN10A150,~,OSTVN10A150,On Shore Technology Inc.,,,,,,,
J12 ,1,Conn_01x02_Male,Main:AC_terminal_4300.0104,~,4300.0104,Schurter Inc.,,,,,,,
J2 ,1,Conn_01x08_Male,Main:PICOBLADE_FEMALE_8,~,530480810,Molex,,,,,,,
J3 ,1,Screw_Terminal_01x02,Main:TerminalBlock_1X2_P5.08mm,~,1715721,Phoenix Contact,,,,,,,
J4 ,1,Raspberry_Pi_2_3,Main:RPi_2x20_SMT,https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf,M20-7812045R,Harwin Inc.,,,,,,,
J10 J11 J5 ,3,Conn_01x03_Male,Main:SOCKET200P-01X03-S3B-PH-K-S(LF)(SN),~,S3B-PH-K-S(LF)(SN),JST,,,,,,,
J6 J7 J8 J9 ,4,Conn_01x01_Male,Main:POGOPIN_5mm_P70-2300045R,~,P70-2200045R,Harwin Inc.,,,,,,,
L1 ,1,L,Inductor_SMD:L_Wuerth_MAPI-3020,~,74438336100,Wurth Electronics Inc.,,,,,,,
Q1 Q2 ,2,2N7002,Package_TO_SOT_SMD:SOT-23,https://www.fairchildsemi.com/datasheets/2N/2N7002.pdf,2N7002,,,,,,,,
R1 ,1,RC0603FR-071K5L,Main:RESC0603,,RC0603FR-071K5L,Yageo,100 mW,1.50 kΩ,STUFF,±1%,,,
R2 R4 R5 ,3,RC0603FR-0710KL,Main:RESC0603,,RC0603FR-0710KL,Yageo,100 mW,10.0 kΩ,STUFF,±1%,,,
R3 ,1,RC0603FR-07475RL,Main:RESC0603,,RC0603FR-07475RL,Yageo,100 mW,475 Ω,STUFF,±1%,,,
R6 ,1,RC1206FR-071ML,Main:RESC1206,,RC1206FR-071ML,Yageo,250 mW,1.00 MΩ,STUFF,±1%,,,
R7 ,1,RC0603FR-071ML,Main:RESC0603,,RC0603FR-071ML,Yageo,100 mW,1.00 MΩ,STUFF,±1%,,,
R8 ,1,RC0603FR-0734KL,Main:RESC0603,,RC0603FR-0734KL,Yageo,100 mW,34.0 kΩ,STUFF,±1%,,,
R10 R11 R12 R9 ,4,RC0603FR-0730K1L,Main:RESC0603,,RC0603FR-0730K1L,Yageo,100 mW,30.1 kΩ,STUFF,±1%,,,
U1 ,1,FT2232D,Package_QFP:LQFP-48_7x7mm_P0.5mm,http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT2232D.pdf,,,,,,,,,
U2 ,1,PSK-S5B-5,Main:PSK-S5B-5,,PSK-S5B-5,CUI Inc.,,,,,,,
U3 ,1,THVD1500,Main:SOIC127P490X390X175-8,,THVD1500DR,Texas Instruments,,,,,,,
U4 ,1,V78E05-1000-SMT-TR,Main:V78E05-1000-SMT-TR,,V78E05-1000-SMT-TR,CUI Inc. ,,,,,,,
U5 ,1,Si7020-A20,Package_DFN_QFN:DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm,https://www.silabs.com/documents/public/data-sheets/Si7020-A20.pdf,Si7020-A20,,,,,,,,
U6 ,1,TLV61046ADB,Package_TO_SOT_SMD:SOT-23-6,http://www.ti.com/lit/ds/symlink/tlv61046a.pdf,TLV61046ADB,,,,,,,,
U7 ,1,74HC14,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,http://www.ti.com/lit/gpn/sn74HC14,SN74HC14PWR,Texas Instruments,,,,,,,
U8 ,1,LM339,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,http://www.ti.com/lit/ds/symlink/lm339.pdf,LM339PWR,,,,,,,,
Y1 ,1,Resonator,Main:RESONTATOR_450X200,~,CSTNR6M00GH5C000R0,Murata Electronics,,,,,,,
